Order Date,Ship Date,Postal Code,Sales,OrderYear,OrderMonth,OrderDay,OrderDayOfWeek,OrderQuarter,IsWeekend,ShipYear,ShipMonth,ShipDay,ShippingDays,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,Category_Furniture,Category_Office Supplies,Category_Technology,IsHolidaySeason_0,IsHolidaySeason_1,City_Encoded,State_Encoded,Sub-Category_Encoded,OrderYearPrefix,OrderSize,CustomerNum,CustomerTotalSpent,CustomerOrderCount,CustomerAvgSpent,ProductCategory_Encoded,ProductSalesCount,ProductAvgPrice,LogSales
2024-11-08,2024-11-11,42420,261.96,2024,11,8,4,4,0,2024,11,11,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,194,15,4,2024,2,12520,1148.7800000000002,3,229.75600000000003,0,4,315.98924999999997,5.572001929355964
2024-11-08,2024-11-11,42420,731.94,2024,11,8,4,4,0,2024,11,11,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,194,15,5,2024,2,12520,1148.7800000000002,3,229.75600000000003,0,12,886.4606666666667,6.597063843147503
2024-06-12,2024-06-16,90036,14.62,2024,6,12,2,2,0,2024,6,16,4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,265,3,10,2024,1,13045,1119.483,5,124.387,1,7,21.93,2.7485521444115397
2023-10-11,2023-10-18,33311,957.5775,2023,10,11,2,4,0,2023,10,18,7,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,153,8,16,2023,2,20335,2602.5755,6,173.50503333333333,0,8,905.346,6.86545041472046
2023-10-11,2023-10-18,33311,22.368,2023,10,11,2,4,0,2023,10,18,7,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,153,8,14,2023,2,20335,2602.5755,6,173.50503333333333,1,5,60.39359999999999,3.15136756508544
2022-06-09,2022-06-14,90032,48.86,2022,6,9,3,2,0,2022,6,14,5,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,265,3,9,2022,7,11710,6255.351,8,260.63962499999997,0,5,32.108000000000004,3.9092190780954117
2022-06-09,2022-06-14,90032,7.28,2022,6,9,3,2,0,2022,6,14,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,265,3,2,2022,7,11710,6255.351,8,260.63962499999997,1,6,5.096,2.1138429683971682
2022-06-09,2022-06-14,90032,907.152,2022,6,9,3,2,0,2022,6,14,5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,265,3,13,2022,7,11710,6255.351,8,260.63962499999997,2,4,529.172,6.8114117654723865
2022-06-09,2022-06-14,90032,18.504,2022,6,9,3,2,0,2022,6,14,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,265,3,3,2022,7,11710,6255.351,8,260.63962499999997,1,10,21.5109,2.970619572738916
2022-06-09,2022-06-14,90032,114.9,2022,6,9,3,2,0,2022,6,14,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,265,3,1,2022,7,11710,6255.351,8,260.63962499999997,1,7,66.31371428571428,4.752727750345706
2022-06-09,2022-06-14,90032,1706.184,2022,6,9,3,2,0,2022,6,14,5,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,265,3,16,2022,7,11710,6255.351,8,260.63962499999997,0,9,550.297,7.442600508432343
2022-06-09,2022-06-14,90032,911.424,2022,6,9,3,2,0,2022,6,14,5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,265,3,13,2022,7,11710,6255.351,8,260.63962499999997,2,4,555.399,6.816104794316803
2025-04-15,2025-04-20,28027,15.552,2025,4,15,1,2,0,2025,4,20,5,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,96,31,12,2025,1,10480,1790.5120000000002,4,149.20933333333335,1,5,17.884800000000002,2.8065069404432417
2024-12-05,2024-12-10,98103,407.976,2024,12,5,3,4,0,2024,12,10,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,450,45,3,2024,1,15070,4930.474,7,234.7844761904762,1,8,386.72725,6.0136564746144785
2023-11-22,2023-11-26,76106,68.81,2023,11,22,2,4,0,2023,11,26,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,154,41,1,2023,2,14815,1990.314,7,199.03140000000002,1,10,138.30810000000002,4.24577726598231
2023-11-22,2023-11-26,76106,2.544,2023,11,22,2,4,0,2023,11,26,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,154,41,3,2023,2,14815,1990.314,7,199.03140000000002,1,8,11.766,1.2652560327428346
2022-11-11,2022-11-18,53711,665.88,2022,11,11,4,4,0,2022,11,18,7,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,271,47,14,2022,1,19075,8646.934,12,345.87735999999995,1,5,510.508,6.502610119684893
2022-05-13,2022-05-15,84084,55.5,2022,5,13,4,2,0,2022,5,15,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,511,42,14,2022,1,10270,2582.898,5,184.4927142857143,1,4,119.325,4.034240638152395
2022-08-27,2022-09-01,94109,8.56,2022,8,27,5,3,1,2022,9,1,5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,436,3,2,2022,3,21925,1493.944,5,165.99377777777778,1,7,13.818285714285716,2.25758772706331
2022-08-27,2022-09-01,94109,213.48,2022,8,27,5,3,1,2022,9,1,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,436,3,13,2022,3,21925,1493.944,5,165.99377777777778,2,1,213.48,5.3682164939277035
2022-08-27,2022-09-01,94109,22.72,2022,8,27,5,3,1,2022,9,1,5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,436,3,3,2022,3,21925,1493.944,5,165.99377777777778,1,7,20.488571428571426,3.1663185741295248
2024-12-09,2024-12-13,68025,19.46,2024,12,9,0,4,0,2024,12,13,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,158,25,2,2024,2,16585,2744.742,12,119.33660869565219,1,5,12.3432,3.0184717605234805
2024-12-09,2024-12-13,68025,60.34,2024,12,9,0,4,0,2024,12,13,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,158,25,1,2024,2,16585,2744.742,12,119.33660869565219,1,8,37.497,4.116432158686106
2025-07-16,2025-07-18,19140,71.372,2025,7,16,2,3,0,2025,7,18,2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,372,36,5,2025,1,20065,763.5459999999999,7,84.83844444444443,0,7,109.24285714285715,4.28181948425685
2023-09-25,2023-09-30,84057,1044.63,2023,9,25,0,3,0,2023,9,30,5,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,349,42,16,2023,1,13870,2767.219,10,251.56536363636363,0,8,905.346,6.952374853558705
2024-01-16,2024-01-20,90049,11.648,2024,1,16,1,1,0,2024,1,20,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,265,3,3,2024,2,13945,684.1709999999999,8,40.24535294117646,1,6,19.170666666666666,2.537499099907171
2024-01-16,2024-01-20,90049,90.57,2024,1,16,1,1,0,2024,1,20,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,265,3,0,2024,2,13945,684.1709999999999,8,40.24535294117646,2,3,116.73466666666666,4.517103707119641
2023-09-17,2023-09-21,19140,3083.43,2023,9,17,6,3,1,2023,9,21,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,372,36,4,2023,7,21520,4737.486,9,236.8743,0,5,3122.19312,8.034122154276439
2023-09-17,2023-09-21,19140,9.618,2023,9,17,6,3,1,2023,9,21,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,372,36,3,2023,7,21520,4737.486,9,236.8743,1,7,28.167,2.3625506741614797
2023-09-17,2023-09-21,19140,124.2,2023,9,17,6,3,1,2023,9,21,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,372,36,9,2023,7,21520,4737.486,9,236.8743,0,12,119.84433333333334,4.829912458665998
2023-09-17,2023-09-21,19140,3.264,2023,9,17,6,3,1,2023,9,21,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,372,36,7,2023,7,21520,4737.486,9,236.8743,1,11,6.194181818181818,1.4502076868635434
2023-09-17,2023-09-21,19140,86.304,2023,9,17,6,3,1,2023,9,21,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,372,36,2,2023,7,21520,4737.486,9,236.8743,1,6,82.708,4.4693962808107885
2023-09-17,2023-09-21,19140,6.858,2023,9,17,6,3,1,2023,9,21,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,372,36,3,2023,7,21520,4737.486,9,236.8743,1,8,7.953375,2.061532121136268
2023-09-17,2023-09-21,19140,15.76,2023,9,17,6,3,1,2023,9,21,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,372,36,2,2023,7,21520,4737.486,9,236.8743,1,6,28.564999999999998,2.818995095053937
2025-10-19,2025-10-23,77095,29.472,2025,10,19,6,4,1,2025,10,23,4,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,207,41,12,2025,1,17560,4299.161,11,126.44591176470588,1,6,32.74666666666666,3.416808229176303
2024-12-08,2024-12-10,75080,1097.544,2024,12,8,6,4,1,2024,12,10,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,404,41,13,2024,2,14485,1361.2440000000001,2,453.74800000000005,2,9,587.97,7.001740945642436
2024-12-08,2024-12-10,75080,190.92,2024,12,8,6,4,1,2024,12,10,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,404,41,9,2024,2,14485,1361.2440000000001,2,453.74800000000005,0,5,572.76,5.257078618531439
