TotalSales,ItemCount,UniqueCategories,ShippingDays,OrderYear,OrderMonth,OrderDay,OrderDayOfWeek,OrderQuarter,IsWeekend,IsHolidaySeason,AvgItemPrice,LogTotalSales,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,ShipMode_First Class,ShipMode_Same Day,ShipMode_Second Class,ShipMode_Standard Class
377.97,1,1,6,2022,9,7,2,3,0,0,377.97,5.937457046276627,1,0,0,0,1,0,0,0,0,0,1
699.192,2,2,4,2022,7,8,4,3,0,0,349.596,6.551354583148241,0,1,0,0,0,0,1,0,0,0,1
91.056,1,1,4,2022,3,14,0,1,0,0,91.056,4.522397087521157,0,0,1,0,0,1,0,0,0,0,1
3.928,1,1,6,2022,1,28,4,1,0,0,3.928,1.5949332262312186,1,0,0,0,1,0,0,0,0,0,1
21.375999999999998,2,1,7,2022,4,8,4,2,0,0,10.687999999999999,3.1079889558996587,0,1,0,0,0,0,1,0,0,0,1
14.62,1,1,4,2022,5,25,2,2,0,0,14.62,2.7485521444115397,1,0,0,0,1,0,0,0,0,0,1
697.074,4,3,4,2022,4,18,0,2,0,0,174.2685,6.548325114334924,1,0,0,1,0,0,0,0,0,0,1
129.44,2,2,2,2022,12,16,4,4,0,1,64.72,4.870913350921119,1,0,0,0,0,1,0,0,0,1,0
508.62,4,1,5,2022,11,24,3,4,0,1,127.155,6.233665349955649,0,1,0,1,0,0,0,0,0,0,1
18.75,1,1,4,2022,3,26,5,1,1,0,18.75,2.9831534913471307,1,0,0,0,0,0,1,0,0,1,0
321.552,1,1,5,2022,10,19,2,4,0,0,321.552,5.7762643635480835,0,0,1,0,0,0,1,0,0,0,1
302.376,1,1,4,2022,3,28,0,1,0,0,302.376,5.714972960291848,0,0,1,0,0,0,1,0,0,0,1
605.47,3,2,4,2022,6,2,3,2,0,0,201.82333333333335,6.407655263022215,1,0,0,0,0,1,0,0,0,0,1
788.8600000000001,3,2,5,2022,10,21,4,4,0,0,262.9533333333334,6.6718557145667265,0,1,0,0,0,1,0,0,0,0,1
166.44,1,1,5,2022,11,19,5,4,1,1,166.44,5.120625078137744,0,0,1,0,0,0,1,0,0,1,0
2.394,1,1,2,2022,12,2,4,4,0,1,2.394,1.2220091668120345,1,0,0,1,0,0,0,1,0,0,0
100.704,1,1,5,2022,12,9,4,4,0,1,100.704,4.6220666336478216,0,1,0,0,0,0,1,0,0,0,1
13.36,1,1,3,2022,8,27,5,3,1,0,13.36,2.664446563620078,1,0,0,0,0,1,0,0,0,1,0
296.712,1,1,4,2022,12,22,3,4,0,1,296.712,5.696126576245286,0,0,1,0,1,0,0,0,0,0,1
